Kernel,Method,Problem Size,GStencil/s,Ncores,NUMA,INSTR_RETIRED_ANY STAT,Runtime (RDTSC) [s] STAT,Runtime unhalted [s] STAT,Clock [MHz] STAT,CPI STAT,L2D load bandwidth [MBytes/s] STAT,L2D load data volume [GBytes] STAT,L3 load bandwidth [MBytes/s] STAT,L3 load data volume [GBytes] STAT,L3 evict bandwidth [MBytes/s] STAT,L3 evict data volume [GBytes] STAT,Dropped CLs bandwidth [MBytes/s] STAT,Dropped CLs data volume [GBytes] STAT,L3 bandwidth [MBytes/s] STAT,L3 data volume [GBytes] STAT,Memory read bandwidth [MBytes/s] STAT,Memory read data volume [GBytes] STAT,Memory write bandwidth [MBytes/s] STAT,Memory write data volume [GBytes] STAT,Memory bandwidth [MBytes/s] STAT,Memory data volume [GBytes] STAT
j3d7pt,Girih,1800 1800 600 1000,77.527612909,60,2,5.395713e+10,25.3240,25.5942,3452.4181,1.6133,43740.3473,1107.6812,8995.3290,227.7978,7261.5891,183.8926,1733.6028,43.9018,16256.9181,411.6904,1763.2609,44.6529,2324.5800,58.8678,4087.8409,103.5207
j3d13pt,Girih,1800 1800 600 1000,36.360118684,60,2,100463385000,53.5703,55.5970,3552.9004,1.8867,35843.8883,1920.1686,10625.7797,569.2264,3793.7370,203.2317,6831.0903,365.9437,14419.5166,772.4581,1631.0377,87.3751,2036.5660,109.0993,3667.6037,196.4744
j3d27pt,Girih,1800 1800 600 1000,39.084784004,60,2,1.368441e+11,50.2341,51.6959,3510.9144,1.2857,36907.5147,1854.0158,3376.2383,169.6023,2567.8360,128.9929,808.3033,40.6044,5944.0744,298.5952,1564.3936,78.5857,1921.7723,96.5383,3486.1659,175.1240
poisson,Girih,1800 1800 600 1000,46.035331660000004,60,2,117194920000,42.6490,44.0175,3519.8098,1.2830,47691.2166,2033.9832,6066.6784,258.7378,2764.1090,117.8865,3302.4930,140.8481,8830.7874,376.6243,1219.5409,52.0121,1556.3606,66.3771,2775.9015,118.3892
