STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Gold 6467C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,3.399975226 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region calc,Group 1 Raw,CACHES,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,
RDTSC Runtime [s],53.570380,53.570380,53.570360,53.570380,53.570560,53.570370,53.570470,53.570380,53.570390,53.570360,53.570340,53.570230,53.570320,53.570260,53.570270,53.570330,53.570340,53.570230,53.570270,53.570220,53.570530,53.570360,53.570370,53.570370,53.570350,53.570300,53.570300,53.570300,53.570240,53.570410,53.570090,53.570240,53.570270,53.570260,53.570520,53.570340,53.570250,53.570240,53.570240,53.570270,53.570340,53.570280,53.570270,53.570250,53.570290,53.570260,53.570280,53.570290,53.570260,53.570250,53.570230,53.570460,53.570520,53.570310,53.570290,53.570320,53.570300,53.570310,53.570310,53.570310,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59
INSTR_RETIRED_ANY,FIXC0,91814870000,99606440000,92894260000,92941900000,97898730000,97939400000,104781800000,105073800000,105522700000,106788100000,98478050000,100405200000,92893870000,93039080000,96403080000,98197790000,104611100000,104303500000,105650600000,107022400000,99198530000,100599500000,91733200000,91962190000,96529400000,98387550000,105292700000,105298900000,105217700000,105118600000,94288010000,100436100000,93262290000,94311540000,96523260000,98429310000,105193900000,105375400000,105557100000,106407800000,100036800000,101296300000,93588070000,93689070000,98054300000,99530830000,106897300000,106063700000,107000200000,108117800000,101396000000,100243000000,93615610000,93433870000,100079200000,100547300000,107800800000,107209200000,107165900000,106648200000
CPU_CLK_UNHALTED_CORE,FIXC1,188978700000,188489600000,188881000000,188900100000,188858900000,188710600000,188596300000,188594100000,188626100000,188573700000,188964100000,188771500000,189041700000,189029600000,188954200000,188777900000,188642300000,188537900000,188711900000,188477000000,188943600000,188758000000,189120300000,188968900000,188679300000,188853700000,188690600000,188629200000,188710900000,188633300000,189892600000,188935500000,189488400000,189451400000,189354800000,189264800000,189075400000,189024200000,189052800000,189076000000,189812000000,189233000000,189636000000,189618600000,189406800000,189393300000,189193100000,189165500000,189283000000,189184900000,189631300000,186848400000,189709300000,189757400000,189560700000,189420400000,189283100000,189306900000,189316700000,189232300000
CPU_CLK_UNHALTED_REF,FIXC2,181215300000,180842400000,181164700000,181146000000,181127400000,181054900000,180853600000,180850000000,180881700000,180830700000,181227500000,181019600000,181322900000,181273300000,181197900000,181033600000,180916300000,180888300000,180957700000,180735500000,181197300000,181007100000,181351500000,181296600000,181003600000,181140900000,180933200000,180878400000,180966700000,180888300000,181301900000,180401500000,180965000000,180924700000,180833300000,180742900000,180567900000,180511000000,180544900000,180544900000,181231600000,180686300000,181051700000,181061600000,180885600000,180826200000,180628000000,180599000000,180767600000,180666600000,181077000000,178455200000,181106700000,181152800000,181006600000,180888200000,180760900000,180733600000,180758900000,180673200000
TOPDOWN_SLOTS,FIXC3,1133872000000,1130938000000,1133286000000,1133400000000,1133153000000,1132264000000,1131578000000,1131564000000,1131756000000,1131442000000,1133784000000,1132629000000,1134250000000,1134178000000,1133725000000,1132667000000,1131854000000,1131228000000,1132271000000,1130862000000,1133661000000,1132548000000,1134722000000,1133813000000,1132076000000,1133122000000,1132144000000,1131775000000,1132265000000,1131800000000,1139355000000,1133613000000,1136931000000,1136708000000,1136129000000,1135589000000,1134452000000,1134145000000,1134317000000,1134456000000,1138872000000,1135398000000,1137816000000,1137712000000,1136441000000,1136360000000,1135159000000,1134993000000,1135698000000,1135110000000,1137788000000,1121090000000,1138256000000,1138544000000,1137364000000,1136522000000,1135698000000,1135842000000,1135900000000,1135394000000
L1D_REPLACEMENT,PMC0,29705840000,29941850000,30006200000,30016450000,29956650000,29937680000,29743920000,29742470000,29661140000,29655580000,30246260000,30113580000,30166960000,30188260000,30127290000,30091160000,29909110000,29909990000,29822190000,29821390000,30233040000,30109640000,30164370000,30174180000,30111520000,30094330000,29905450000,29908010000,29834500000,29815390000,29985040000,30183150000,30242610000,30256840000,30188990000,30166040000,29980790000,29979440000,29905070000,29893740000,30533980000,30478100000,30540730000,30540970000,30476480000,30456980000,30273110000,30275860000,30189210000,30174250000,29751190000,29707440000,29753770000,29786770000,29736060000,29708450000,29512300000,29509320000,29431890000,29425070000
L2_LINES_IN_ALL,PMC1,8871684000,9014330000,9996213000,10040780000,8937404000,8954305000,8198482000,8265064000,8094593000,8092070000,8968827000,9097200000,10044030000,10086380000,8985530000,9006840000,8254167000,8305096000,8133596000,8145999000,8978519000,9107694000,10046540000,10089120000,8981788000,9005875000,8242678000,8308226000,8128123000,8128030000,8946086000,9094367000,10067410000,10113660000,9002297000,9028649000,8270697000,8328259000,8157768000,8152955000,9069005000,9196004000,10167960000,10200900000,9095148000,9116585000,8360385000,8403988000,8219966000,8236700000,8860289000,8985606000,9912211000,9954930000,8874507000,8900220000,8151600000,8208626000,8028008000,8035807000
L2_LINES_OUT_SILENT,PMC2,5531616000,5705362000,5495544000,5576912000,5779599000,5870595000,5773754000,5828624000,5709204000,5661333000,5574950000,5764975000,5522283000,5591954000,5803013000,5900104000,5796886000,5864586000,5726481000,5692906000,5569226000,5746523000,5501582000,5588920000,5790721000,5890402000,5777249000,5855542000,5714928000,5687663000,5574091000,5739137000,5525355000,5607271000,5816959000,5914580000,5807828000,5875288000,5748546000,5705055000,5637103000,5827695000,5585966000,5647748000,5870078000,5967337000,5862958000,5932022000,5797341000,5759668000,5516204000,5685503000,5450661000,5532550000,5740241000,5832378000,5728866000,5792869000,5664812000,5632666000
