STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Gold 6467C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,3.399962324 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region calc,Group 1 Raw,CACHES,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,
RDTSC Runtime [s],42.649080,42.649110,42.649060,42.649190,42.649230,42.649070,42.649020,42.648910,42.648910,42.648910,42.649150,42.648920,42.648940,42.649030,42.649050,42.648990,42.649160,42.649040,42.649050,42.649070,42.649110,42.649010,42.649170,42.649010,42.649050,42.649150,42.649030,42.649110,42.648940,42.648980,42.648780,42.649060,42.648990,42.649030,42.648950,42.648950,42.648940,42.648930,42.649000,42.648970,42.648980,42.648960,42.648950,42.649010,42.648980,42.649580,42.648930,42.648930,42.648970,42.648970,42.648910,42.648910,42.648930,42.648920,42.648920,42.648940,42.648920,42.648940,42.648930,42.649000,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59
INSTR_RETIRED_ANY,FIXC0,102752900000,102781600000,108754400000,116623600000,137074900000,152182500000,114549900000,113971700000,115903100000,116419300000,116770200000,116260500000,114586100000,113823200000,115700500000,116387300000,115687100000,115202700000,115424900000,113717800000,116100700000,116716800000,116092400000,115594900000,114234200000,113032800000,116367800000,116373700000,115483900000,114454700000,106196200000,106738600000,113887700000,118391500000,140448900000,155378600000,115548100000,114703500000,116192600000,115647600000,116704400000,116715900000,119558600000,118987800000,120677100000,121370100000,121278500000,115279600000,115233400000,114184700000,116270700000,117071900000,116151400000,115781500000,115575100000,113962000000,117265300000,116922400000,115586800000,114958600000
CPU_CLK_UNHALTED_CORE,FIXC1,149626800000,149586700000,149524100000,149631400000,149612500000,149552500000,149727500000,149542200000,149555800000,149557600000,149495300000,149490500000,149741400000,149590600000,149579900000,149576600000,149572800000,149502600000,149760400000,149315300000,149417000000,149404700000,149281400000,149416300000,149744400000,149620400000,149626100000,149641700000,149627600000,149624600000,149950500000,149775800000,149833900000,149085900000,149891800000,149808800000,149980600000,149841900000,149795500000,149650200000,149837900000,149807800000,149935800000,149874900000,149898000000,149891200000,149854500000,148897400000,149949600000,149643400000,149625200000,149636300000,149605300000,149666000000,149984600000,149787100000,149740100000,149783800000,149757100000,149725000000
CPU_CLK_UNHALTED_REF,FIXC2,144637900000,144595400000,144538100000,144639500000,144626900000,144581800000,144714900000,144572900000,144567700000,144564800000,144516300000,144510200000,144745100000,144611300000,144602200000,144600200000,144596600000,144584400000,144732800000,144340500000,144435100000,144428900000,144472600000,144433400000,144749400000,144657500000,144654900000,144655200000,144648200000,144637200000,144693700000,144527500000,144589000000,143909100000,144642400000,144569700000,144727800000,144597100000,144597400000,144415000000,144593200000,144585500000,144717400000,144654100000,144677300000,144700200000,144676900000,143714400000,144739500000,144466600000,144462500000,144459600000,144479400000,144489700000,144727900000,144553100000,144509300000,144545000000,144553400000,144492500000
TOPDOWN_SLOTS,FIXC3,897760600000,897520000000,897144600000,897788600000,897674800000,897315000000,898364900000,897253100000,897334900000,897345400000,896972000000,896943100000,898448500000,897543900000,897479300000,897459800000,897437100000,897015600000,898562200000,895891600000,896502100000,896428300000,895688400000,896497700000,898466300000,897722300000,897756400000,897850200000,897765900000,897747900000,899702700000,898655000000,899003600000,894515200000,899351000000,898852900000,899883300000,899051200000,898772800000,897900900000,899027500000,898846500000,899614900000,899249100000,899387800000,899346900000,899127100000,893384300000,899697600000,897860300000,897751100000,897818000000,897631900000,897995700000,899907800000,898722800000,898440600000,898702600000,898542800000,898349700000
L1D_REPLACEMENT,PMC0,33912870000,30620690000,30496580000,30489840000,30527870000,30601190000,32188250000,32149600000,32006260000,31974270000,31941620000,31891860000,32185080000,32147820000,32002580000,31978040000,31942090000,31882470000,32147070000,32136630000,31958730000,31926530000,31889260000,31846050000,32138780000,32095140000,31948240000,31923640000,31884460000,31852410000,33676790000,30512120000,30396720000,30392960000,30414650000,30495600000,32143390000,32101330000,31947750000,31924880000,31885470000,31833250000,32081490000,31928410000,31781990000,31752990000,31723300000,31672270000,32309530000,32168260000,32012670000,31989540000,31951510000,31906390000,32022510000,31976670000,31831160000,31832690000,31794030000,31712980000
L2_LINES_IN_ALL,PMC1,3680170000,4088317000,4041619000,4027629000,4016081000,4014060000,4056412000,4124362000,4069528000,4073781000,4072649000,4014670000,4060986000,4125307000,4073511000,4075130000,4065552000,4008284000,4058042000,4117343000,4069575000,4071067000,4060854000,4006412000,4055523000,4113968000,4080084000,4070494000,4060751000,3998624000,3671754000,4074639000,4032760000,4018802000,4000400000,4000563000,4052056000,4116237000,4063407000,4059657000,4065518000,4007075000,4032055000,4098452000,4045882000,4048399000,4045477000,3981321000,4061421000,4124831000,4074906000,4078432000,4065455000,4009580000,4044833000,4097339000,4064902000,4055308000,4043477000,3980993000
L2_LINES_OUT_SILENT,PMC2,1942574000,3001605000,3399381000,3687894000,3688654000,734645100,2030736000,2058597000,2087758000,2128354000,2141453000,1955332000,2051812000,2086911000,2102898000,2085667000,2087324000,1966440000,2038573000,2091069000,2114790000,2094736000,2111374000,1985483000,2024458000,2144704000,2135878000,2090990000,2062980000,1951652000,1962128000,3035026000,3412549000,3653438000,3654287000,741685600,2043298000,2063431000,2023088000,2101680000,2142406000,1978880000,2042036000,2076742000,2104381000,2121867000,2085257000,1944932000,2052230000,2099272000,2125663000,2086972000,2093747000,1970613000,2025440000,2145236000,2122546000,2051616000,2033158000,1966747000
