STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Gold 6467C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,3.399971623 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region calc,Group 1 Raw,CACHES,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,
RDTSC Runtime [s],50.234580,50.234740,50.234870,50.234470,50.234460,50.234480,50.234650,50.234700,50.234750,50.234730,50.234730,50.234650,50.234070,50.234090,50.234090,50.234170,50.234200,50.234430,50.234710,50.234730,50.234660,50.234850,50.234720,50.234740,50.234710,50.234710,50.234710,50.233960,50.234010,50.233900,50.233400,50.233590,50.233580,50.233460,50.233480,50.233490,50.233650,50.233670,50.233670,50.233670,50.233680,50.233720,50.234170,50.234070,50.234160,50.233450,50.233470,50.233480,50.233470,50.233480,50.233460,50.233810,50.233770,50.233880,50.233910,50.234100,50.233920,50.233660,50.233780,50.233660,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59
INSTR_RETIRED_ANY,FIXC0,125521500000,137781400000,157172300000,135930500000,135560200000,136174400000,136057300000,135942100000,136500000000,136440800000,136043700000,136599100000,136112800000,135998900000,136502500000,135973300000,135524100000,136110500000,136509500000,135594500000,136286300000,137040900000,135715100000,136293900000,135973900000,135862200000,136518400000,135798900000,135542700000,136066200000,125808400000,137240300000,158105700000,136331200000,135733300000,136374300000,136377000000,135647900000,136031700000,136211900000,136084300000,136657900000,141696900000,136685100000,140822300000,137521900000,136996500000,136512700000,138551800000,136136400000,138698000000,136150600000,136209300000,136741100000,136247700000,136062600000,136730700000,136030600000,135202700000,135896800000
CPU_CLK_UNHALTED_CORE,FIXC1,175723500000,175406100000,175343000000,175879600000,175444900000,175475600000,175871600000,175779200000,175833800000,175913700000,175824100000,175796000000,175903000000,175881400000,175884600000,175890800000,175507700000,175480200000,175902500000,175316300000,175382100000,175889300000,175245800000,175737300000,175909400000,175879800000,175853500000,175900500000,175770600000,175782000000,176063200000,175927900000,176011000000,176140400000,175591200000,175696900000,176114900000,175548900000,175272200000,176117900000,176014900000,175993800000,176076200000,174991000000,175701500000,176048000000,175810200000,175700700000,176119100000,175590600000,176011200000,176019300000,175352600000,175407400000,176129700000,176044300000,176043700000,176118600000,175384800000,175432500000
CPU_CLK_UNHALTED_REF,FIXC2,170277900000,170015800000,169957200000,170417800000,170040700000,170058200000,170425700000,170351300000,170342500000,170428300000,170356000000,170351900000,170421700000,170400100000,170395500000,170423100000,170089900000,170090800000,170413900000,169896500000,169946900000,170431500000,170297600000,170274900000,170431100000,170399800000,170405000000,170410700000,170302900000,170298200000,170359100000,170244100000,170319500000,170413400000,169940000000,170027700000,170409400000,169903300000,169686700000,170425300000,170331900000,170339300000,170374000000,169345500000,170019800000,170417100000,170185900000,170007800000,170417600000,169912100000,170305400000,170293500000,169773200000,169756900000,170416900000,170351500000,170337400000,170402100000,169782900000,169787700000
TOPDOWN_SLOTS,FIXC3,1054341000000,1052437000000,1052058000000,1055278000000,1052669000000,1052854000000,1055230000000,1054675000000,1055003000000,1055482000000,1054944000000,1054776000000,1055418000000,1055288000000,1055308000000,1055345000000,1053046000000,1052881000000,1055415000000,1051898000000,1052293000000,1055336000000,1051475000000,1054424000000,1055456000000,1055279000000,1055121000000,1055403000000,1054624000000,1054692000000,1056379000000,1055568000000,1056066000000,1056842000000,1053547000000,1054182000000,1056689000000,1053294000000,1051633000000,1056707000000,1056089000000,1055963000000,1056457000000,1049946000000,1054209000000,1056288000000,1054861000000,1054204000000,1056714000000,1053544000000,1056067000000,1056116000000,1052116000000,1052445000000,1056778000000,1056266000000,1056262000000,1056712000000,1052309000000,1052595000000
L1D_REPLACEMENT,PMC0,33437330000,27061130000,26980270000,29062690000,29048510000,28979130000,29008400000,28999000000,28924320000,29030750000,29055380000,28948360000,28988200000,28989760000,28893040000,29013260000,29003940000,28901430000,29005490000,28951690000,28902520000,29079230000,28937980000,28866340000,29114780000,28980440000,28907960000,28866880000,28846830000,28771070000,33418240000,27059010000,27021320000,29033420000,29024300000,28953200000,28970970000,28949640000,28770530000,29105480000,29072240000,28991160000,28806510000,28811630000,28703400000,28966350000,28922290000,28878250000,28966900000,28947600000,28842030000,28962340000,28918260000,28853610000,29063190000,29038070000,28925490000,28925330000,28891520000,28791400000
L2_LINES_IN_ALL,PMC1,2277569000,2844831000,2888200000,2638255000,2677932000,2658912000,2633047000,2670807000,2653812000,2632412000,2666715000,2649688000,2630907000,2666393000,2646938000,2638613000,2666083000,2652967000,2630599000,2662522000,2648156000,2635555000,2654849000,2653421000,2627004000,2661958000,2659921000,2624345000,2646643000,2631191000,2276850000,2843988000,2888014000,2631583000,2658591000,2654709000,2640232000,2676335000,2640600000,2634237000,2675714000,2659773000,2620043000,2656844000,2636554000,2628580000,2663610000,2645562000,2629537000,2665703000,2648062000,2628725000,2650973000,2642154000,2635509000,2660905000,2660336000,2629861000,2652717000,2635610000
L2_LINES_OUT_SILENT,PMC2,1543491000,2389728000,813027100,533568300,627048700,496804900,527993700,623076500,498749000,494205600,582813300,473744300,508289100,590690500,480773900,511680600,603878100,506942100,489200000,584655700,476211600,486155300,605425100,517993300,482951200,617270000,482089100,492273400,568938400,492342400,1541982000,2392056000,814402600,470100500,588245100,479924100,562045100,567376500,494547700,502346100,606341700,469418700,521686100,602852000,491065700,502960700,592554700,485681800,513674800,593486900,483936700,480963700,579082000,492855100,475006300,601259000,491855300,500533400,569994100,496375900
